number;title
2;Oh, God! Book II (1980)
3;Oh, God! You Devil (1984)
1;On the Buses (1971)
2;Mutiny on the Buses (1971)
3;Holiday on the Buses (1972)
1;Once Upon a Time in the West (1968)
2;Duck, You Sucker! (1971)
3;Once Upon a Time in America (1984)
1;One Missed Call (2004)
2;One Missed Call 2 (2005)
3;One Missed Call: Final (2006)
1;Ong-Bak: Muay Thai Warrior (2003)
2;Ong Bak 2 (2008)  
3;Ong Bak 3 (2010)  
1;Open Water (2003)
2;Open Water 2: Adrift (2006)
3;Open Water 3: Cage Dive (2017)
1;Orgasmo (1969)
2;Così dolce... così perversa (1969)
3;Paranoia (1970)
1;The Blood of a Poet (1932)
2;Orphée (1950)
3;Testament of Orpheus (1960)
1;Kevade (1969)
2;Suvi (1976)
3;Sügis (1990)
1;Outrage (2010)
2;Beyond Outrage (2012)
3;Outrage Coda (2017)
1;På dessa skuldror (sv) (1948)
2;Människors rike (sv) (1949)
3;Tarps Elin (sv) (1956)
1;Page 3 (2005)
2;Corporate (2006)
3;Traffic Signal (2007)
1;Palaris (1941)
2;Awit ni palaris (1946)
3;Anak ni palaris (1955)
1;Mon petit doigt m'a dit... (2005)
2;Crime Is Our Business (2008)
3;Associés contre le crime (film) (fr) (2012)
1;Patlabor: The Movie (2001)
2;Patlabor 2: The Movie (2002)
3;WXIII: Patlabor the Movie 3 (2003)
1;Døden på Oslo S (1990)
2;Giftige løgner (no) (1992)
3;De blå ulvene (1993)
1;Penitentiary (1979)
2;Penitentiary II (1982)
3;Penitentiary III (1987)
1;Nosotros los pobres (1948)
2;Ustedes los ricos (1948)
3;Pepe el Toro (1953)
1;Flugten (da) (1973)
2;Per (1975)
3;Blind makker (da) (1976)
1;Peter Voss, Thief of Millions (1958)
2;Bobby Dodd greift ein (de) (1959)
3;Peter Voss, Hero of the Day (1959)
1;Phoenix (1978)
2;Phoenix 2772 (1980)
3;Phoenix: Ho-o (1986)
1;Pido Dida: Sabay Tayo (1990)
2;Pido Dida 2 (Kasal na) (1991)
3;Pido Dida 3: May kambal na (1992)
1;Piédalu à Paris (fr) (1951)
2;Piédalu fait des miracles (fr) (1952)
3;Piédalu député (fr) (1954)
1;Il Decameron (1971)
2;I racconti di Canterbury (1972)
3;Il fiore delle mille e una notte (1974)
1;Piger i trøjen (1975)
2;Piger i trøjen 2 (1976)
3;Piger til søs (1977)
1;Pink Tush Girl (1978)
2;Pink Tush Girl: Love Attack (1979)
3;Pink Tush Girl: Proposal Strategy (1980)
1;Pitch Perfect (2012)
2;Pitch Perfect 2 (2015)
3;Pitch Perfect 3 (2017)
1;Poeten og Lillemor (1959)
2;Poeten og Lillemor og Lotte (1960)
3;Poeten og Lillemor i forårshumør (1961)
1;Poltergeist (1982)
2;Poltergeist II: The Other Side (1986)
3;Poltergeist III (1988)
1;Roja (1992)
2;Bombay (1995)
3;Dil Se.. (1998)
1;Popeye Meets the Man Who Hated Laughter (1972)  
2;Popeye (1980)
3;Popeye's Voyage: The Quest for Pappy (2004)  
1;Porky's (1982)
2;Porky's II: The Next Day (1983)
3;Porky's Revenge (1985)
1;Prehysteria! (1993)
2;Prehysteria! 2 (1994)  
3;Prehysteria! 3 (1995)  
1;Private Gladiator (2001)
2;Private Gladiator: In the City of Lust (2001)
3;Private Gladiator: Sexual Conquest (2001)
1;Private Lessons (1981)
2;Private Lessons II (1993)
3;Private Lessons: Another Story (1994)
1;Problem Child (1990)
2;Problem Child 2 (1991)
3;Problem Child 3: Junior in Love (1995)  
1;Pulse (2006)
2;Pulse 2: Afterlife (2008)  
3;Pulse 3: Invasion (2008)  
1;Pure Country (1992)
2;Pure Country 2: The Gift (2010)
3;Pure Country: Pure Heart (2017)
1;Pusher (1996)
2;Pusher II: With Blood on my Hands (2004)
3;Pusher III: I'm the Angel of Death (2005)
1;Puss in Boots (1969)
2;The Three Musketeers in Boots (1972)
3;Puss in Boots Travels Around the World (1976)
1;Koyaanisqatsi (1983)
2;Powaqqatsi (1988)
3;Naqoyqatsi (2002)
1;Qing shao nian nuo zha (1992)
2;Ai qing wan sui (1994)
3;He liu (1997)
1;Quando le donne avevano la coda (1970)
2;Quando le donne persero la coda (1972)
3;Quando gli uomini armarono la clava e... con le donne fecero din-don (1971)
1;The Quatermass Xperiment (1955)
2;Quatermass 2 (1957)
3;Quatermass and the Pit (1967)
1;Questi pazzi, pazzi italiani (1965)
2;Viale della canzone (1965)
3;008: Operazione ritmo (1965)
1;The Rat (1925)
2;The Triumph of the Rat (1926)
3;The Return of the Rat (1929)
1;Re-Animator (1985)
2;Bride of Re-Animator (1991)
3;Beyond Re-Animator (2003)  
1;Reclusorio (1997)
2;Fuera de la ley (1998)
3;Reclusorio III (1999)
1;Strictly Ballroom (1992)
2;William Shakespeare's Romeo + Juliet (1997)
3;Moulin Rouge! (2001)
1;Red Riding: In the Year of Our Lord 1974 (2009)
2;Red Riding: In the Year of Our Lord 1980 (2009)
3;Red Riding: In the Year of Our Lord 1983 (2009)
1;Restless (2000)
2;Me and Morrison (2001)
3;Addiction (2004)
1;El prisionero trece (1933)
2;El compadre Mendoza (1934)
3;Vámonos con Pancho Villa (1935)
1;The Ring (2002)
2;The Ring Two (2005)
3;Rings (2017)
1;Ring of Fire (1991)
2;Ring of Fire II: Blood and Steel (1993)
3;Ring of Fire 3: Lion Strike (1995)
1;Rio Bravo (1959)
2;El Dorado (1966)
3;Rio Lobo (1970)
1;My New Partner (1982)
2;My New Partner II (1990)
3;Ripoux 3 (fr) (2003)
1;The Rising Son (1990)
2;Legend of the Dragonslayer Sword (1996)
3;The Rage of Gina (1996)
1;Alice in the Cities (1974)
2;The Wrong Move (1975)
3;Kings of the Road (1976)
1;Roadkill (1989)
2;Highway 61 (1991)
3;Hard Core Logo (1996)
1;The Da Vinci Code (2006)
2;Angels & Demons (2009)
3;Inferno (2016)
1;The Bandit of Sherwood Forest (1946)
2;The Prince of Thieves (1948)
3;Rogues of Sherwood Forest (1950)
1;The Men of Sherwood Forest (1954)
2;Sword of Sherwood Forest (1960)
3;A Challenge for Robin Hood (1967)
1;RoboCop (1987)
2;RoboCop 2 (1990)
3;RoboCop 3 (1993)
1;Rock 'n' Roll High School (1979)
2;Rock 'n' Roll High School Forever (1991)
3;Shake, Rattle and Rock! (1994)  
1;Boris and Natasha: The Movie (1992)
2;Dudley Do-Right (1999)
3;The Adventures of Rocky and Bullwinkle (2000)
1;The Roller Blade Seven (1991)
2;The Legend of the Roller Blade Seven (1992)
3;Return of the Roller Blade Seven (1993)
1;Ruby Red (2013)
2;Sapphire Blue (2014)
3;Emerald Green (2016)
1;Rudolph the Red-Nosed Reindeer (1964)  
2;Rudolph's Shiny New Year (1976)  
3;Rudolph and Frosty's Christmas in July (1979)  
1;The Rugrats Movie (1998)
2;Rugrats in Paris: The Movie (2000)
3;Rugrats Go Wild (2003)
1;Rush Hour (1998)
2;Rush Hour 2 (2001)
3;Rush Hour 3 (2007)
1;Sabata (1969)
2;Adiós, Sabata (1971)
3;Return of Sabata (1971)
1;Sabrina the Teenage Witch (1996)  
2;Sabrina Goes to Rome (1998)  
3;Sabrina Down Under (1999)  
1;Sailor Moon R: The Movie (1993)
2;Sailor Moon S: The Movie (1994)
3;Sailor Moon Super S: The Movie (1995)
1;Samurai I: Musashi Miyamoto (1954)
2;Samurai II: Duel at Ichijoji Temple (1955)
3;Samurai III: Duel at Ganryu Island (1956)
1;The Twilight Samurai (2002)
2;The Hidden Blade (2004)
3;Love and Honor (2006)
1;The Sandlot (1993)
2;The Sandlot 2 (2005)  
3;The Sandlot: Heading Home (2007)  
1;The Santa Clause (1994)
2;The Santa Clause 2 (2002)
3;The Santa Clause 3: The Escape Clause (2006)
1;While the Patient Slept (1935)
2;The Patient in Room 18 (1938)
3;Mystery House (1938)
1;Sarah, Plain and Tall (1991)  
2;Skylark (1993)  
3;Sarah, Plain and Tall: Winter's End (1999)  
1;Sarkar (2005)
2;Sarkar Raj (2008)
3;Sarkar 3 (2017)
1;Scarecrow (2002)  
2;Scarecrow Slayer (2003)  
3;Scarecrow Gone Wild (2004)  
1;Screwballs (1983)
2;Screwballs II: Loose Screws (1985)
3;Screwball Hotel (1988)
1;Agent 077 - Mission Bloody Mary (1965)
2;Agent 077 From the Orient with Fury (1965)
3;Special Mission Lady Chaplin (1966)
1;Secret Games (1992)
2;Secret Games II (The Escort) (1993)
3;Secret Games 3 (1994)
1;The Sentimental Swordsman (1977)
2;Return of the Sentimental Swordsman (1981)
3;Perils of the Sentimental Swordsman (1982)
1;The 7th Voyage of Sinbad (1958)
2;The Golden Voyage of Sinbad (1974)
3;Sinbad and the Eye of the Tiger (1977)
1;Sex and Zen (1992)
2;Sex and Zen II (1996)
3;Sex and Zen III (1998)
1;Shaolin Temple (1982)
2;Kids From Shaolin (1983)
3;Martial Arts of Shaolin (1986)
1;Shark Attack (1999)  
2;Shark Attack 2 (2001)  
3;Shark Attack 3: Megalodon (2002)  
1;Sharktopus (2010)  
2;Sharktopus vs. Pteracuda (2014)  
3;Sharktopus vs. Whalewolf (2015)  
1;Sherlock Holmes and the Deadly Necklace (1962)
2;Sherlock Holmes and the Leading Lady (1992)  
3;Incident at Victoria Falls (1991)  
1;Shiloh (1996)
2;Shiloh 2: Shiloh Season (1999)
3;Saving Shiloh (2006)
1;Shiryô no wana (1988)
2;Shiryô no wana 2: Hideki (1992)
3;Chigireta ai no satsujin (1993)
1;Shocking Asia (1976)
2;Shocking Asia II: The Last Taboos (1985)
3;Shocking Asia III: After Dark (1995)
1;Operatsiya Y i drugiye priklyucheniya Shurika (1965)
2;Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika (1967)
3;Ivan Vasilevich menyaet professiyu (1973)
1;Simon les nuages (fr) (1990)
2;Matusalem (fr) (1993)
3;Matusalem II: le dernier des Beauchesne (1997)
1;Singam (2010)
2;Singam II (2013)
3;Si3 (2017)
1;Sissi (1955)
2;Sissi – The Young Empress (1956)
3;Sissi – Fateful Years of an Empress (1957)
1;Skånska mord - Esarparen (1986)  
2;Skånska mord - Hurvamorden (1986)  
3;Skånska mord - Veberödsmannen (1986)  
1;The Skulls (2000)
2;The Skulls II (2002)  
3;The Skulls III (2004)  
1;Slap Shot (1977)
2;Slap Shot 2: Breaking the Ice (2002)  
3;Slap Shot 3: The Junior League (2008)  
1;À toi de jouer Callaghan (fr) (1955)
2;Plus de whisky pour Callaghan (fr) (1955)
3;Callaghan remet ça (fr) (1961)
1;Snake Eater (1989)
2;Snake Eater II: The Drug Buster (1991)
3;Snake Eater III: His Law (1992)
1;The Snow Queen (2012)
2;The Snow Queen 2 (2014)
3;The Snow Queen 3: Fire and Ice (2016)
1;Sometimes They Come Back (1991)  
2;Sometimes They Come Back Again (1996)  
3;Sometimes They Come Back for More (1998)  
1;Støv på hjernen (1959)
2;Sønner av Norge (1961)
3;Sønner av Norge kjøper bil (1962)
1;The Notorious Sophie Lang (1934)
2;The Return of Sophie Lang (1936)
3;Sophie Lang Goes West (1937)
1;Sorority House Massacre (1986)
2;Sorority House Massacre II (1990)
3;Hard to Die (1990)
1;The Spessart Inn (1958)
2;The Haunted Castle (1960)
3;Glorious Times at the Spessart Inn (1967)
1;Through a Glass, Darkly (1961)
2;Winter Light (1963)
3;The Silence (1963)
1;Spider-Man (2002)
2;Spider-Man 2 (2004)
3;Spider-Man 3 (2007)
1;The SpongeBob SquarePants Movie (2004)
2;SpongeBob's Atlantis SquarePantis (2007)  
3;SpongeBob vs. The Big One (2009)  
1;Stargate (1994)
2;Stargate: The Ark of Truth (2008)  
3;Stargate: Continuum (2008)  
1;Starzan: Shouting Star of the Jungle (1989)
2;Starzan II: The Coming of the Star Son (1989)
3;Starzan III: The Jungle Triangle (1990)
1;The Stepfather (1987)
2;Stepfather II (1989)
3;Stepfather III (1992)  
1;Street Fighter II: The Animated Movie (1995)
2;Street Fighter Alpha: The Movie (1999)
3;Street Fighter Alpha: Generations (2005)
1;Stuart Little (1999)
2;Stuart Little 2 (2002)
3;Stuart Little 3: Call of the Wild (2005)  
1;The Student Nurses (1970)
2;Private Duty Nurses (1971)
3;The Young Nurses (1973)
1;Sukeban Deka: The Movie (1987)
2;Counter Attack from the Kazama Sisters (1987)
3;Yo-Yo Girl Cop (2006)
1;Super Fly (1972)
2;Super Fly T.N.T. (1973)
3;The Return of Superfly (1990)
1;S.W.A.T. (2003)
2;S.W.A.T.: Firefight (2011)  
3;S.W.A.T.: Under Siege (2017)  
1;The Swordsman (1990)
2;Swordsman II (1992)
3;The East Is Red (1994) 
1;Tagediebe (1985)
2;Schlaflose Nächte (1988)
3;Die blaue Stunde (1992)
1;Taken (2008)
2;Taken 2 (2012)
3;Taken 3 (2014)
1;Demon Knight (1995)
2;Bordello of Blood (1996)
3;Ritual (2002)  
1;Tarzan (1999)
2;Tarzan & Jane (2002)  
3;Tarzan II (2005)    
1;Sümela'nın Şifresi: Temel (tr) (2011)
2;Moskova'nın Şifresi: Temel (tr) (2012)
3;Sümela'nın Şifresi 3: Cünyor Temel (tr) (2017)
1;Tenchi the Movie: Tenchi Muyo in Love (1996)
2;Tenchi the Movie 2: The Daughter of Darkness (1997)
3;Tenchi Forever! The Movie (1999)
1;Tokyo: The Last Megalopolis (1987)
2;Tokyo: The Last War (1989)
3;Teito Monogatari Gaiden (1995)
1;The Ten Gladiators (1963)
2;Triumph of the Ten Gladiators (1964)
3;Spartacus and the Ten Gladiators (1964)
1;Tetsuo: The Iron Man (1989)
2;Tetsuo II: Body Hammer (1992)
3;Tetsuo: The Bullet Man (2010)
1;That's Entertainment! (1974)
2;That's Entertainment, Part II (1975)
3;That's Entertainment! III (1996)
1;Things (1993)
2;Things II (1998)
3;Things 3: Old Things (1998)  
1;The 36th Chamber Of Shaolin (1978)
2;Return to the 36th Chamber (1980)
3;Disciples Of The 36th Chamber (1985)
1;Three Colors: Blue (1993)
2;Three Colors: White (1994)
3;Three Colors: Red (1994)
1;Shaun of the Dead (2004)
2;Hot Fuzz (2007)
3;The World's End (2013)
1;Suspiria (1977)
2;Inferno (1980)
3;The Mother of Tears (2007)
1;Three Smart Girls (1936)
2;Three Smart Girls Grow Up (1939)
3;Hers to Hold (1941)
1;Thunder in Paradise (1993)  
2;Thunder in Paradise II (1994)  
3;Thunder in Paradise 3 (1995)  
1;Thunder Warrior (1983)
2;Thunder Warrior II (1987)
3;Thunder Warrior III (1988)
1;Thunderbirds to the Rescue (1980)  
2;Thunderbirds in Outer Space (1981)  
3;Countdown to Disaster (1981)  
1;Tiger Cage (1988)
2;Tiger Cage 2 (1990)
3;Tiger Cage 3 (1991)
1;Tiger Claws (1992)
2;Tiger Claws II (1996)
3;Tiger Claws III (1999)
1;Tillie's Punctured Romance (1914)
2;Tillie's Tomato Surprise (1915)
3;Tillie Wakes Up (1917)
1;San (1966)
2;Jutro (1967)
3;Podne (1968)
1;To er mundo é güeno (1982)
2;To er mundo é... mejo! (1982)
3;To er mundo é... ¡demasiao!' (1985)
1;Tokyo Raiders (2000)
2;Seoul Raiders (2005)
3;Europe Raiders (2017)
1;The Talented Mr. Ripley (1999)
2;Ripley's Game (2002)
3;Ripley Under Ground (2005)
1;Topper (1937)
2;Topper Takes a Trip (1938)
3;Topper Returns (1941)
1;Torarete Tamaruka! (1992)
2;Torarete Tamaruka! 2 (1993)
3;Torarete Tamaruka! 3 (1994)
1;Trællene (1978)
2;Trællenes oprør (1979)
3;Trællenes børn (1980)
1;The Transformers: The Movie (1986)
2;The Transformers: Five Faces of Darkness (1986)  
3;The Transformers: The Return of Optimus Prime (1987)  
1;The Prophet, the Gold and the Transylvanians (1978)
2;The Actress, the Dollars and the Transylvanians (1979)
3;The Oil, the Baby and the Transylvanians (1981)
1;Cavale (2002) 
2;Un couple épatant (2002)
3;Après la vie (2003)
1;Marius (1931)
2;Fanny (1932)
3;César (1936)
1;The Fisher King (1991)
2;12 Monkeys (1995)
3;Fear and Loathing in Las Vegas (1998)
1;The Man Who Loved Yngve(2008)
2;I Travel Alone(2011)
3;The Orheim Company(2012)
1;Time Bandits (1981)
2;Brazil (1985)
3;The Adventures of Baron Munchausen (1988)
1;With Fire and Sword (1999)
2;The Deluge (1974)
3;Colonel Wolodyjowski (1969)
1;They Call Me Trinity (1970)
2;Trinity Is Still My Name (1971)
3;Sons of Trinity (1995)
1;Troll (1985)
2;Troll 2 (1990)
3;Troll 3 (1990)
1;Tugboat Annie (1933)
2;Tugboat Annie Sails Again (1940)
3;Captain Tugboat Annie (1945)
1;The Tulse Luper Suitcases, Part 1: The Moab Story (2003)
2;The Tulse Luper Suitcases, Part 2: Vaux to the Sea (2004)
3;The Tulse Luper Suitcases, Part 3: From Sark to the Finish (2005)
1;Turbulence (1997)
2;Turbulence 2: Fear of Flying (1999)  
3;Turbulence 3: Heavy Metal (2001)  
1;Üç Harfliler: Marid (tr) (2010)
2;Üç Harfliler 2: Hablis (2015)
3;Üç Harfliler 3: Karabüyü (2016)
1;Ultimate Avengers (2006)  
2;Ultimate Avengers 2 (2006)  
3;Next Avengers: Heroes of Tomorrow (2008)  
1;Ultraman Tiga & Ultraman Dyna: Warriors of the Star of Light (1998)
2;Ultraman Tiga & Ultraman Dyna & Ultraman Gaia: Battle in Hyperspace(1999)
3;Ultraman Tiga: The Final Odyssey (2000)
1;Unbreakable (2000)
2;Split (2016)
3;Glass (2019)
1;Und tschüss! Auf Mallorca (1996)  
2;Und tschüss! In Amerika (1996)  
3;Und tschüss! - Ballermann olé (1998)  
1;Unsere tollen Tanten (de) (1961)
2;Unsere tollen Nichten (de) (1963)
3;Unsere tollen Tanten in der Südsee (de) (1964)
1;The Scarface Mob (1959)  
2;The Revenge of Al Capone (1989)  
3;The Return of Eliot Ness (1991)  
1;Up Pompeii (1971)
2;Up the Chastity Belt (1971)
3;Up the Front (1972)
1;Uptown Saturday Night (1974)
2;Let's Do It Again (1975)
3;A Piece of the Action (1977)
1;Urban Legend (1998)
2;Urban Legends: Final Cut (2000)
3;Urban Legends: Bloody Mary (2005)  
1;Dogville (2003)
2;Manderlay (2005)
3;Washington (2009)
1;Vampires (1998)
2;Vampires: Los Muertos (2002)  
3;Vampires: The Turning (2005)  
1;Eine Frau verschwindet (de) (2012)  
2;Totenengel – Van Leeuwens zweiter Fall (2013)  
3;Der Tod und das Mädchen – Van Leeuwens dritter Fall (2017)  
1;Van Wilder (2002)
2;Van Wilder: The Rise of Taj (2006)
3;Van Wilder: Freshman Year (2009)    
1;Sympathy for Mr. Vengeance (2002)
2;Oldboy (2003)
3;Sympathy for Lady Vengeance (2005)
1;La Vérité Si Je Mens ! (1997)
2;La Vérité si je mens ! 2 (fr) (2001)
3;La Vérité si je mens ! 3 (fr) (2012)
1;V/H/S (2012)
2;V/H/S/2 (2013)
3;V/H/S: Viral (2014)
1;Victòria! La gran aventura d'un poble' (1983)
2;Victòria! 2: La disbauxa del 17' (1983)
3;Victòria! 3: El seny i la rauxa (1984)
1;Platoon (1986)
2;Born on the Fourth of July (1989)
3;Heaven & Earth (1993)
1;The Visitors (1993)
2;The Visitors II: The Corridors of Time (1998)
3;The Visitors: Bastille Day (2016)
1;The Vizconde Massacre Story (God Help Us!) (1993)
2;The Untold Story: Vizconde Massacre II - May the Lord Be with Us (1994)
3;Jessica Alfaro Story (1995)
1;Vorstadtkrokodile (de) (2009)
2;Vorstadtkrokodile 2 (de) (2010)
3;Vorstadtkrokodile 3 (de) (2011)
1;Walking Tall (1973)
2;Walking Tall Part 2 (1975)
3;Walking Tall: Final Chapter (1977)
1;Walking Tall (2004)
2;Walking Tall: The Payback (2007)  
3;Walking Tall: Lone Justice (2007)  
1;Whistling in the Dark (1941)
2;Whistling in Dixie (1942)
3;Whistling in Brooklyn (1943)
1;Walter og Carlo - op på fars hat (1985)
2;Walter og Carlo - yes, det er far (1986)
3;Walter & Carlo i Amerika (1989)
1;Warlock (1989)
2;Warlock: The Armageddon (1993)
3;Warlock III: The End of Innocence (1999)  
1;The Wedding March (2016)  
2;Wedding March 2: Resorting to Love (2017)  
3;Wedding March 3: A Valentine Wedding (2018)  
1;White Fang (1973)
2;Challenge to White Fang (1974)
3;White Fang to the Rescue (1974)
1;The Whore (2010)  
2;The Revenge of the Whore (2012)  
3;Das Vermächtnis der Wanderhure (de) (2012)  
1;Die Wilden Hühner (de) (2006)
2;Die Wilden Hühner und die Liebe (de) (2007)
3;Die Wilden Hühner und das Leben (de) (2009)
1;The Wild Thornberrys: The Origin of Donnie (2001)  
2;The Wild Thornberrys Movie (2002)
3;Rugrats Go Wild! (2003)
1;The Adventures of the Wilderness Family (1975)
2;The Further Adventures of the Wilderness Family (1978)
3;Mountain Family Robinson (1979)
1;Witchboard (1986)
2;Witchboard 2: The Devil's Doorway (1993)
3;Witchboard III: The Possession (1995)
1;Witchouse (1999)  
2;Witchouse 2: Blood Coven (1999)  
3;Witchouse 3: Demon Fire (2001)  
1;Escape to Witch Mountain (1975)
2;Return from Witch Mountain (1978)
3;Beyond Witch Mountain (1982)  
1;The Patchwork Girl of Oz (1914)
2;The Magic Cloak (1914)
3;His Majesty, the Scarecrow of Oz (1914)
1;The Wizard of Oz (1939)
2;Journey Back to Oz (1974)
3;Lion of Oz (2000)  
1;Xtro (1983)
2;Xtro II: The Second Encounter (1990)
3;Xtro 3: Watch the Skies (1993)
1;XXX (2002)
2;XXX: State of the Union (2005)
3;XXX: Return of Xander Cage (2017)
1;Yôjû kyôshitsu gaiden (1995)
2;Yôjû kyôshitsu gaiden 2: Eros no megami kôrin (1996)
3;Yôjû kyôshitsu gaiden 3: Seibo no ecstasy (1997)
1;Yōkai Monsters: Spook Warfare (1968)
2;Yōkai Monsters: 100 Monsters (1968)
3;Yōkai Monsters: Along with Ghosts (1969)
1;Zeiramu (1991)
2;Iria: Zeiram the Animation (1993)   (prequel to Zeiramu)
3;Zeiramu 2 (1994)
1;Zeitgeist: The Movie (2007)  
2;Zeitgeist: Addendum (2008)  
3;Zeitgeist: Moving Forward (2011)  
1;Zenon: Girl of the 21st Century (1999)  
2;Zenon: The Zequel (2001)  
3;Zenon: Z3 (2004)  
1;Znachor (1937)
2;Profesor Wilczur (1938)
3;Testament profesora Wilczura (1942)
1;Zoop in Africa (2005)
2;Zoop in India (2006)
3;Zoop in South America (2007)
